,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
159,株式会社半田屋 | <創業66年の安定基盤> 人物重視の採用／様々なキャリアパスあり,【総合職(店舗運営／経理)】★月8日休み・新店舗もOPEN予定★ 正社員,正社員,経験やスキルに応じて配属。<店舗運営>接客・調理、仕入れ・売上等の管理面、シフト作成など <経理>経理業務、伝票・試算表・決算書の作成管理など,20～30代の若手活躍中！【未経験OK／人柄重視の採用】◎高卒以上 ◎要普免(AT限定可/業務上使用します) ★飲食店や接客の基礎知識がある方は歓迎！,【希望勤務地を考慮！転居を伴う転勤なし】 ★店舗運営…宮城県、北海道、秋田県のいずれかの店舗 ★経…,"月給200,000円〜300,000円 ※年齢、経験、能力を考慮の上、決定いたします。 ※3ヶ月試用期間あり（期間…"
160,株式会社オフィスメディア | 【仙台に根差して34年！】◆賞与：最大15ヶ月分の支給実績あり◆,オフィスや店舗などの【仲介営業】年休115日(土日祝)/残業月20h 正社員,正社員,【仙台市内の既存取引先が中心！】オフィス・店舗・倉庫等の空き店舗物件の情報収集、物件をお探しの方への問い合わせ対応などを行っていただきます。,【20代後半～30代活躍中！】◎法人営業の経験者(実務経験3年以上の方は歓迎！) ◎要普免(AT限定可) ★不動産の知識がある方は活かせます！,【転勤なし／UIターン歓迎】 ★仙台市内(青葉区・泉区・若林区)のいずれかの拠点 <本社> 宮城県…,"月給201,500円〜249,750円(一律手当含む)＋賞与年2回(平均計6ヶ月分) ※固定残業代(30時間分／50,000円…"
161,大成設備株式会社 | 「給料が高く新卒も辞めない企業」上位★「ホワイト500」認定,東証一部上場・大成建設グループで活躍【施工管理】☆20代活躍中 契約社員,契約社員,≪有名施設を手がけるチャンスも≫ 当社が手がける建設現場において工程・品質・安全等の管理業務を担当する施工管理職(空調・衛生・電気),■空調・衛生・電気設備工事における施工管理の経験や資格をお持ちの方 ★多くの先輩が正社員に！最短1年で正社員登用が可能★,《全国事業所での募集となります》 ※勤務地はあなたの希望を考慮します 事業所：東京・北海道・宮城・…,月給:23万円〜39万円 ※経験、能力などを考慮の上、当社規定により決定いたします。 ※採用初年度は嘱…
162,ぴあ株式会社 | 【東北エリア限定採用】★正社員登用制度あり★転勤なし★,東証一部上場企業で活躍！【企画営業兼事務(チケット情報管理)】 契約社員,契約社員,【東北限定】『チケットぴあ』で扱うスポーツイベント(主にサッカー等)チケットの仕入れ～販売プロモーション、チケット情報管理等幅広い業務をお任せ,【未経験・第二新卒歓迎】◆社会人経験者(年数不問) ★「上場企業で活躍したい」「東北でずっと働きたい」「スポーツが好き」など、理由は何でもOK！,——★仙台勤務・転勤なし！U・Iターン歓迎！ 【東北支局】 宮城県仙台市青葉区本町2-15-1　ル…,"月給209,250円〜338,800円 ※能力、経験、前職給与などを考慮のうえ、優遇いたします。 ※上記には、50時…"
163,文化シヤッター株式会社 | 【東証一部上場】国内トップクラスのシェアを誇る業界パイオニア,【取付工事スタッフ】◆土日祝休み★年間休日124日★残業少なめ 正社員,正社員,《新設部署のメンバー募集です！》シャッター等の取付作業をお任せします。★有名スポットや大型商業施設で、「自分の仕事」と胸を張れる仕事を！,【未経験・第二新卒歓迎】「モノづくりが好き」「手に職をつけたい」方歓迎★手厚い研修と充実のサポート体制,<勤務地は希望を考慮します> ◆東京本社 東京都文京区西片1丁目17番3号 【アクセス】 都営三田…,月給：22万〜40万円 ※経験・年数を考慮の上、当社規定により優遇します。 ※入社後〜1年間は契約社員（…
164,北海道地図株式会社 | ★創業60年以上の実績ある地図コンサルティング会社★,地図製作の【企画提案営業】◎20～30代の若手活躍中！ 正社員,正社員,《年間休日125日》地図のほか印刷物、映像、スマホアプリなどを企画・提案 既存顧客やテーマに沿った営業が中心となります。,《未経験・第二新卒歓迎》●39歳以下（若年層の長期キャリア形成を図るため） ●大卒以上 ●要普免許（AT限可）◎営業など対人経験は活かせます！,東京都千代田区永田町、仙台市青葉区、札幌市白石区、旭川市での募集です！ ※希望を考慮の上、配属とな…,■東京 月給24.8万円以上(一律営業手当・地域手当込み) ※試用期間最大6ヶ月あり。試用期間中は月給23.8…
165,株式会社ヒト・コミュニケーションズ | 【設立以降、23期連続で増収!】土日祝休／年休120日以上／残業少,東証一部上場グループの【事務スタッフ(総務・営業サポート)】 契約社員,契約社員,週次・月次報告資料の作成サポート、稟議書・経費申請のチェック、役員のスケジュール管理などをお任せ。※ゆくゆくは営業業務にも携われます。,【安定企業で働きたい方はぜひ!】◎性別不問 ◎高卒以上 ◆営業経験をお持ちの方(業界・年数は問いません) ☆企業成長を実感できるポジションで活躍,【大阪・梅田駅から徒歩5分！地下街を通って通勤できます♪】 ◆関西支社／大阪府大阪市北区梅田2-4…,時給1300円〜 + 交通費全額支給 ※経験・能力に応じて考慮します 《モデル月収例》※月22日勤務／残業10…
166,株式会社九州ハイテック | 【 17期連続売上拡大中！大手企業との取引多数で安定経営！】,” 特許取得製品 ”にも携わり、企業成長を支える【開発】 正社員,正社員,◎自社で開発している床用コーティング剤『ファインコート』の改良や新商品の開発業務全般をお任せします。,《 研究心・探究心のある方 》 ※化学または工学の知識をお持ちの方歓迎！(習熟レベルは問いません) ◎要普免(AT限定可) ◎学歴不問・第二新卒歓迎！,◆UIターン歓迎！ 希望を最大限考慮し、東京または鹿児島のいずれかに配属になります。 ■東京本部／…,月給25万円〜40万円 ＋ 諸手当 ※上記はあくまで最低給与額です。 　年齢・経験を考慮し決定いたします…
167,弁護士法人 平松剛法律事務所 | 平均年齢30歳／産育休取得実績／家賃補助／資格取得支援,法律事務所の【経理】☆土日祝休み・年休127日・残業少なめ！ 正社員,正社員,当社の総務チームの経理スタッフとして、経理業務全般を経験やスキルに応じた業務からお任せ。※法律事務所が初めてでも、もちろん大丈夫です！,【応募条件：◆高卒以上 ◆簿記3級or経理経験1年以上】※一人ひとりのスキルや経験に応じて、出来る範囲の業務からお任せしていきます！,◎転勤なし ◎銀座駅から徒歩3分の好立地！ 東京事務所 東京都中央区銀座6-2-1 Daiwa銀座…,月給23〜33万円 ★給与例：月給28〜40万円（簿記2級以上かつ実務経験3年以上の場合） ★給与例：月給33〜…
168,弁護士法人 平松剛法律事務所 | 【平均年齢30歳】【産育休取得実績】【家賃補助】【男性活躍中】,法律事務所の【事務員】未経験OK／残業月5～10h／年休127日 正社員,正社員,【専門知識やスキルは不要！】相談の一次的対応や書類作成の補助等、アシスタント業務をお願いします。,☆未経験・育児中の方も歓迎！【応募条件】高卒以上・基本的なPCスキル(Word・Excel・PowerPoint) 　◎責任感がある方　◎意欲的に仕事に取り組める方,★東京・千葉（新設）・名古屋・京都での募集／転勤なし ★立川・大宮でもオープンを予定 ●東京事務所…,東京事務所　　月給23〜26万円 千葉事務所　　月給21.5〜26万円 名古屋事務所　月給19〜23万円 京都事務…
